paras,rewards
[10  6 10 15  6  0],0.8517639501892367
[ 7  2 13  6  6  1],0.8919433758904569
[ 2  3 12 20  8  1],0.739649521762471
[ 5  9  1 11  7  1],0.8260860289683578
[11  7 15  8  2  0],0.9148221827325583
[ 3  6 20 17  4  0],0.8553255190689909
[ 5  3 15  8  6  0],0.8863496724690958
[1 2 5 9 3 1],0.9094830617959223
[ 5  1  8 20  0  1],0.9138044992702572
[2 0 9 1 3 1],0.7782962807425482
[ 9  2 11  6  2  1],0.9361793129557013
[ 4  7  6 13  4  1],0.8830465649336612
[ 4  6  5 17  5  1],0.8553268120221892
[ 7  0 10 13  6  0],0.7548792174840373
[ 2  9 12 17  0  0],0.9051564525087947
[ 7  0 11 16  5  1],0.7091254826594289
[11  4 10 14  1  0],0.9038880654213631
[ 7  6 15 17  5  1],0.8558353305150401
[ 6  6  6 11  0  1],0.9305914278237322
[ 2  3 20 12  5  0],0.8743998111253968
[ 5  4 11 15  7  0],0.8393023379696911
[11  5 16 13  0  1],0.9247405560112497
[ 9  6 11  2  1  1],0.9527077801648567
[11  6  6 18  3  0],0.8609205154435502
[ 2  2 20  5  4  0],0.9043985233440115
[ 3  0  8 18  7  0],0.7215599428618122
[11  7 14  6  0  0],0.9344017608988197
[ 5  1 11 19  8  1],0.7142410519880966
[ 4  1 10 13  8  0],0.8395517486416233
[ 9  2 10 19  1  0],0.8860892716949789
[ 9  1 20  8  4  1],0.8970240354827732
